Attack,GNN,TAcc,AAcc,AF1
surviving_edges_60p_cora_pubmed_diff_domain_dist,gat,0.8620,0.8124,0.8313
surviving_edges_80p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7721,0.8072

baseline_train_citeseer_cora_diff_domain_dist,gat,0.9332,0.7692,0.7827
surviving_edges_20p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7692,0.8090
surviving_edges_40p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8077,0.8260
surviving_edges_60p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8237,0.8459
surviving_edges_80p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8839,0.8928

baseline_train_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7158,0.7637
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7596,0.7897
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7629,0.7984
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7207,0.7771
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7181,0.7777

baseline_train_pubmed_cora_diff_domain_dist,gat,0.9332,0.7583,0.7428
surviving_edges_20p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7929,0.8181
surviving_edges_40p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7384,0.7877
surviving_edges_60p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7751,0.8134
surviving_edges_80p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7512,0.8015

baseline_train_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8207,0.8382
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.7523,0.8000
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8412,0.8664
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8874,0.8918
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8928,0.9029

baseline_train_cora_citeseer_diff_domain_dist,gcn,0.8666,0.5109,0.6758
surviving_edges_20p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6306,0.7164
surviving_edges_40p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6379,0.7254
surviving_edges_60p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6399,0.7271
surviving_edges_80p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7310,0.7714

baseline_train_cora_pubmed_diff_domain_dist,gcn,0.8924,0.6296,0.7203
surviving_edges_20p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7452,0.7760
surviving_edges_40p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7484,0.7835
surviving_edges_60p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7358,0.7730
surviving_edges_80p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7848,0.8068

baseline_train_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6784,0.7229
surviving_edges_20p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6401,0.7160
surviving_edges_40p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6000,0.6988
surviving_edges_60p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7655,0.7717
surviving_edges_80p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7136,0.6611

baseline_train_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.5487,0.6879
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7034,0.7616
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7541,0.7867
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7633,0.7985
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.8056,0.8177

baseline_train_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7112,0.6798
surviving_edges_20p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6325,0.7205
surviving_edges_40p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6695,0.7410
surviving_edges_60p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7116,0.7644
surviving_edges_80p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.5000,0.6514

baseline_train_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7503,0.7534
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6639,0.7411
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6779,0.7452
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7894,0.8010
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7174,0.7626

