Attack,GNN,TAcc,AAcc,AF1
baseline_train_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.6011,0.7122
surviving_edges_20p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.6934,0.7638
surviving_edges_40p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8184,0.8390
surviving_edges_60p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8438,0.8629
surviving_edges_80p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8510,0.8667

baseline_train_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7146,0.7599
surviving_edges_20p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7538,0.7873
surviving_edges_40p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7482,0.7908
surviving_edges_60p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7353,0.7852
surviving_edges_80p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.8215,0.8399

baseline_train_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7525,0.7700
surviving_edges_20p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.6800,0.7468
surviving_edges_40p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7219,0.7735
surviving_edges_60p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8265,0.8409
surviving_edges_80p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8662,0.8785

baseline_train_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.6596,0.7374
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7366,0.7803
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7515,0.7950
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.8025,0.8259
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7856,0.8148

baseline_train_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7557,0.7546
surviving_edges_20p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7661,0.8018
surviving_edges_40p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7750,0.8177
surviving_edges_60p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8558,0.8717
surviving_edges_80p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8474,0.8626

baseline_train_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8195,0.8302
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8123,0.8397
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8155,0.8355
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8496,0.8613
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8424,0.8579

baseline_train_cora_citeseer_diff_domain_dist,gat,0.8834,0.8405,0.8565
surviving_edges_20p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8340,0.8580
surviving_edges_40p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8243,0.8467
surviving_edges_60p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8284,0.8545
surviving_edges_80p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8874,0.8995

baseline_train_cora_pubmed_diff_domain_dist,gat,0.8620,0.7022,0.7543
surviving_edges_20p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7472,0.7845
surviving_edges_40p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7922,0.8143
