Attack,GNN,TAcc,AAcc,AF1
baseline_train_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8023,0.8148
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.7629,0.8029
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8203,0.8456
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8309,0.8479
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8682,0.8878

baseline_train_cora_citeseer_diff_domain_dist,gat,0.8834,0.8169,0.8367
surviving_edges_20p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8527,0.8632
surviving_edges_40p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8483,0.8622
surviving_edges_60p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8968,0.9087
surviving_edges_80p_cora_citeseer_diff_domain_dist,gat,0.8834,0.9142,0.9212

baseline_train_cora_pubmed_diff_domain_dist,gat,0.8620,0.6975,0.7515
surviving_edges_20p_cora_pubmed_diff_domain_dist,gat,0.8620,0.6594,0.7425
surviving_edges_40p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7675,0.8028
surviving_edges_60p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7399,0.7890
surviving_edges_80p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7956,0.8245

baseline_train_citeseer_cora_diff_domain_dist,gat,0.9332,0.7729,0.7824
surviving_edges_20p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7941,0.8170
surviving_edges_40p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8101,0.8240
surviving_edges_60p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7917,0.8236
surviving_edges_80p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8128,0.8241

baseline_train_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7134,0.7616
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.6968,0.7632
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7811,0.8095
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7574,0.7988
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7656,0.8067

baseline_train_pubmed_cora_diff_domain_dist,gat,0.9332,0.7701,0.7705
surviving_edges_20p_pubmed_cora_diff_domain_dist,gat,0.9332,0.6420,0.7366
surviving_edges_40p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8195,0.8368
surviving_edges_60p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8225,0.8414
surviving_edges_80p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8318,0.8548

baseline_train_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8266,0.8477
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8307,0.8468
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8653,0.8795
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8606,0.8750
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8472,0.8652

baseline_train_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6964,0.7542
surviving_edges_20p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6517,0.7235
surviving_edges_40p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.5962,0.7003
surviving_edges_60p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6957,0.7555
surviving_edges_80p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.5734,0.6903

baseline_train_cora_pubmed_diff_domain_dist,gcn,0.8924,0.5202,0.6724
surviving_edges_20p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.6971,0.7583
surviving_edges_40p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7558,0.7890
surviving_edges_60p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7885,0.8117
surviving_edges_80p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.8010,0.8187

baseline_train_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7248,0.7411
surviving_edges_20p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6899,0.7508
surviving_edges_40p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7953,0.8071
surviving_edges_60p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7878,0.7996
surviving_edges_80p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7981,0.8280

baseline_train_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.5282,0.6774
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.6990,0.7563
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7483,0.7872
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7781,0.7991
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7746,0.8026

baseline_train_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6934,0.6476
surviving_edges_20p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7263,0.7707
surviving_edges_40p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6062,0.7097
surviving_edges_60p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7925,0.8031
surviving_edges_80p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6948,0.7410

baseline_train_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7622,0.7584
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7041,0.7552
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6915,0.7561
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6522,0.7435
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7582,0.7866

