Attack,GNN,TAcc,AAcc,AF1
baseline_train_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8235,0.8458
surviving_edges_20p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8001,0.8272
surviving_edges_40p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8346,0.8523
surviving_edges_60p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8524,0.8628
surviving_edges_80p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.7908,0.8152

baseline_train_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.6870,0.7476
surviving_edges_20p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7263,0.7765
surviving_edges_40p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7547,0.7943
surviving_edges_60p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7805,0.8100
surviving_edges_80p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.8026,0.8298

baseline_train_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7501,0.7602
surviving_edges_20p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7902,0.8092
surviving_edges_40p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7094,0.7657
surviving_edges_60p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7902,0.8208
surviving_edges_80p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8521,0.8525

baseline_train_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.6657,0.7427
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7393,0.7813
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7535,0.7960
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7806,0.8145
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.8161,0.8321

baseline_train_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7314,0.6992
surviving_edges_20p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7239,0.7704
surviving_edges_40p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8055,0.8225
surviving_edges_60p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7362,0.7863
surviving_edges_80p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7300,0.7784

