Attack,GNN,TAcc,AAcc,AF1
baseline_train_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8097,0.8410
surviving_edges_20p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8009,0.8327
surviving_edges_40p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8155,0.8424
surviving_edges_60p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8653,0.8801
surviving_edges_80p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8682,0.8832

baseline_train_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7020,0.7533
surviving_edges_20p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7595,0.7860
surviving_edges_40p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7908,0.8135
surviving_edges_60p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7901,0.8162
surviving_edges_80p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7785,0.8121

baseline_train_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7464,0.7483
surviving_edges_20p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7608,0.7944
surviving_edges_40p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8266,0.8303
surviving_edges_60p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8312,0.8428
surviving_edges_80p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7441,0.8036

baseline_train_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.6877,0.7485
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7508,0.7872
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7616,0.7966
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7941,0.8202
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7561,0.7978

baseline_train_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7351,0.7056
surviving_edges_20p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7778,0.8095
surviving_edges_40p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8242,0.8325
surviving_edges_60p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8687,0.8769
surviving_edges_80p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8498,0.8667

baseline_train_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8160,0.8194
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.7830,0.8149
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8107,0.8413
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8367,0.8564
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8940,0.8975

baseline_train_cora_citeseer_diff_domain_dist,gat,0.8834,0.7607,0.8023
surviving_edges_20p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8159,0.8411
surviving_edges_40p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8608,0.8730
surviving_edges_60p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8512,0.8686
surviving_edges_80p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8713,0.8788

baseline_train_cora_pubmed_diff_domain_dist,gat,0.8620,0.7061,0.7597
surviving_edges_20p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7162,0.7742
surviving_edges_40p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7649,0.7986
surviving_edges_60p_cora_pubmed_diff_domain_dist,gat,0.8620,0.8048,0.8244
surviving_edges_80p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7823,0.8166

baseline_train_citeseer_cora_diff_domain_dist,gat,0.9332,0.7800,0.7768
surviving_edges_20p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7112,0.7687
surviving_edges_40p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8408,0.8577
surviving_edges_60p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8414,0.8607
surviving_edges_80p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7915,0.8240

baseline_train_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7022,0.7605
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7355,0.7797
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7276,0.7803
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7611,0.8036
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7877,0.8141

baseline_train_pubmed_cora_diff_domain_dist,gat,0.9332,0.7285,0.6995
surviving_edges_20p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7970,0.8188
surviving_edges_40p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8258,0.8376
surviving_edges_60p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8402,0.8595
surviving_edges_80p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8483,0.8621

baseline_train_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.7923,0.8187
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8260,0.8458
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8323,0.8462
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8566,0.8703
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8847,0.8933

baseline_train_cora_citeseer_diff_domain_dist,gcn,0.8666,0.5212,0.6812
surviving_edges_20p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6776,0.7432
