Attack,GNN,TAcc,AAcc,AF1
surviving_edges_40p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7405,0.7560
surviving_edges_60p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6019,0.6925
surviving_edges_80p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7391,0.7848

baseline_train_cora_pubmed_diff_domain_dist,gcn,0.8924,0.5021,0.6664
surviving_edges_20p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7207,0.7703
surviving_edges_40p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7630,0.7909
surviving_edges_60p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7785,0.8012
surviving_edges_80p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7793,0.8057

baseline_train_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6873,0.7408
surviving_edges_20p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6723,0.7334
surviving_edges_40p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6094,0.7140
surviving_edges_60p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7233,0.7635
surviving_edges_80p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6761,0.7101

baseline_train_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.5621,0.6934
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7249,0.7700
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7522,0.7775
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7851,0.8055
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.8030,0.8212

baseline_train_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6901,0.6370
surviving_edges_20p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6137,0.7111
surviving_edges_40p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6242,0.7149
surviving_edges_60p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7046,0.7595
surviving_edges_80p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7981,0.8009

baseline_train_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7579,0.7751
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6408,0.7170
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6552,0.7483
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6427,0.7404
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7391,0.7714

