Attack,GNN,TAcc,AAcc,AF1
baseline_train_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8350,0.8525
surviving_edges_20p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8216,0.8439
surviving_edges_40p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8365,0.8571
surviving_edges_60p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8524,0.8678
surviving_edges_80p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8338,0.8513

baseline_train_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.6619,0.7339
surviving_edges_20p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7171,0.7716
surviving_edges_40p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7789,0.8062
surviving_edges_60p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7689,0.8054
surviving_edges_80p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7956,0.8245

baseline_train_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7675,0.7770
surviving_edges_20p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7485,0.7890
surviving_edges_40p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8391,0.8522
surviving_edges_60p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7878,0.8206
surviving_edges_80p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8333,0.8560

baseline_train_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.6962,0.7544
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7430,0.7816
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7690,0.8039
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.8044,0.8247
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.8191,0.8388

baseline_train_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7267,0.6946
surviving_edges_20p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8183,0.8204
surviving_edges_40p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7688,0.8035
surviving_edges_60p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7515,0.7985
surviving_edges_80p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8333,0.8536

baseline_train_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8086,0.8269
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.6999,0.7679
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8193,0.8487
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8496,0.8669
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8338,0.8432

baseline_train_cora_citeseer_diff_domain_dist,gat,0.8834,0.8019,0.8320
surviving_edges_20p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8541,0.8698
surviving_edges_40p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8573,0.8742
surviving_edges_60p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8874,0.8971
surviving_edges_80p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8633,0.8783

baseline_train_cora_pubmed_diff_domain_dist,gat,0.8620,0.7134,0.7614
surviving_edges_20p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7478,0.7858
surviving_edges_40p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7868,0.8082
surviving_edges_60p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7359,0.7888
surviving_edges_80p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7724,0.8117

baseline_train_citeseer_cora_diff_domain_dist,gat,0.9332,0.7796,0.7925
surviving_edges_20p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7899,0.8080
surviving_edges_40p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7470,0.7901
surviving_edges_60p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8201,0.8386
surviving_edges_80p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8294,0.8554

baseline_train_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7254,0.7684
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.6990,0.7643
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7544,0.7957
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7776,0.8083
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7837,0.8111

baseline_train_pubmed_cora_diff_domain_dist,gat,0.9332,0.7394,0.7158
surviving_edges_20p_pubmed_cora_diff_domain_dist,gat,0.9332,0.6905,0.7543
surviving_edges_40p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8014,0.8324
surviving_edges_60p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7183,0.7817
surviving_edges_80p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7251,0.7828

baseline_train_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8276,0.8467
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8487,0.8661
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8359,0.8569
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8177,0.8475
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8231,0.8406

baseline_train_cora_citeseer_diff_domain_dist,gcn,0.8666,0.5365,0.6821
surviving_edges_20p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6653,0.7258
surviving_edges_40p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6125,0.7113
surviving_edges_60p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7758,0.8043
surviving_edges_80p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.8071,0.8238

baseline_train_cora_pubmed_diff_domain_dist,gcn,0.8924,0.5017,0.6673
surviving_edges_20p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7129,0.7627
surviving_edges_40p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7412,0.7795
surviving_edges_60p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7725,0.7857
surviving_edges_80p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7984,0.8098

baseline_train_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7159,0.7390
surviving_edges_20p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7263,0.7734
surviving_edges_40p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6773,0.7394
surviving_edges_60p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6905,0.7560
surviving_edges_80p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.5258,0.6892

baseline_train_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.5197,0.6738
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7500,0.7788
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7403,0.7765
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7554,0.7909
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7813,0.8024

baseline_train_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7229,0.6933
surviving_edges_20p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6712,0.7463
surviving_edges_40p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7359,0.7682
surviving_edges_60p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6389,0.7004
surviving_edges_80p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6197,0.7148

baseline_train_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7612,0.7656
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6537,0.7291
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7060,0.7484
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7364,0.7674
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7255,0.7678

