Attack,GNN,TAcc,AAcc,AF1
baseline_train_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.7203,0.7798
surviving_edges_20p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.7787,0.8207
surviving_edges_40p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8375,0.8549
surviving_edges_60p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8510,0.8649
surviving_edges_80p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8997,0.9072
baseline_train_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.6893,0.7500
surviving_edges_20p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7084,0.7669
surviving_edges_40p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7788,0.8053
surviving_edges_60p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7856,0.8122
surviving_edges_80p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7812,0.8173
baseline_train_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7647,0.7678
surviving_edges_20p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7538,0.7808
surviving_edges_40p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8406,0.8464
surviving_edges_60p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7737,0.8132
surviving_edges_80p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8521,0.8633
baseline_train_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7073,0.7623
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7221,0.7720
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7522,0.7967
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7924,0.8193
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7899,0.8192
baseline_train_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7520,0.7473
surviving_edges_20p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8072,0.8183
surviving_edges_40p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8023,0.8234
surviving_edges_60p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8242,0.8434
surviving_edges_80p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8333,0.8419
baseline_train_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8269,0.8352
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8352,0.8533
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.7782,0.8067
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8496,0.8659
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8854,0.8958
baseline_train_cora_citeseer_diff_domain_dist,gat,0.8834,0.8041,0.8312
surviving_edges_20p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8273,0.8442
surviving_edges_40p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8528,0.8687
surviving_edges_60p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8405,0.8571
surviving_edges_80p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8740,0.8698
baseline_train_cora_pubmed_diff_domain_dist,gat,0.8620,0.7007,0.7546
surviving_edges_20p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7717,0.7933
surviving_edges_40p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7767,0.8074
surviving_edges_60p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7386,0.7895
surviving_edges_80p_cora_pubmed_diff_domain_dist,gat,0.8620,0.8063,0.8296
baseline_train_citeseer_cora_diff_domain_dist,gat,0.9332,0.7498,0.7719
surviving_edges_20p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7296,0.7804
surviving_edges_40p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8022,0.8229
surviving_edges_60p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7799,0.8151
surviving_edges_80p_citeseer_cora_diff_domain_dist,gat,0.9332,0.6919,0.7670
baseline_train_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7200,0.7672
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7528,0.7885
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7822,0.8095
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7642,0.8009
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.8233,0.8395
baseline_train_pubmed_cora_diff_domain_dist,gat,0.9332,0.7351,0.7152
surviving_edges_20p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7408,0.7857
surviving_edges_40p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7983,0.8225
surviving_edges_60p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7917,0.8278
surviving_edges_80p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8270,0.8437
baseline_train_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8340,0.8520
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8333,0.8522
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8492,0.8614
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8633,0.8728
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8660,0.8762
baseline_train_cora_citeseer_diff_domain_dist,gcn,0.8666,0.5016,0.6681
surviving_edges_20p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6660,0.7403
surviving_edges_40p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6615,0.7345
surviving_edges_60p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7690,0.7922
surviving_edges_80p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7120,0.7644
baseline_train_cora_pubmed_diff_domain_dist,gcn,0.8924,0.5012,0.6648
surviving_edges_20p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7362,0.7760
surviving_edges_40p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7519,0.7881
surviving_edges_60p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7738,0.7915
surviving_edges_80p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7761,0.8009
baseline_train_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7056,0.7328
surviving_edges_20p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.5569,0.6868
surviving_edges_40p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7078,0.7510
surviving_edges_60p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6624,0.7348
surviving_edges_80p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6596,0.7461
baseline_train_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.5037,0.6683
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7388,0.7746
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7549,0.7896
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7627,0.7897
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7674,0.7984
baseline_train_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7056,0.6515
surviving_edges_20p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7034,0.7546
surviving_edges_40p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7883,0.7961
surviving_edges_60p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.4971,0.6598
surviving_edges_80p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6056,0.6912
baseline_train_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7476,0.7668
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6531,0.7409
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7214,0.7690
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7432,0.7830
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7582,0.7906
