Attack,GNN,TAcc,AAcc,AF1
baseline_train_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8395,0.8537
surviving_edges_20p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.7930,0.8230
surviving_edges_40p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8375,0.8504
surviving_edges_60p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8438,0.8682
surviving_edges_80p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8825,0.8845

baseline_train_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7241,0.7653
surviving_edges_20p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7510,0.7843
surviving_edges_40p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7741,0.8044
surviving_edges_60p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.8013,0.8225
surviving_edges_80p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7572,0.8039

baseline_train_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7473,0.7558
surviving_edges_20p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7714,0.7930
surviving_edges_40p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8094,0.8274
surviving_edges_60p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8617,0.8671
surviving_edges_80p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8427,0.8630

baseline_train_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.6805,0.7455
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7202,0.7715
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7901,0.8088
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.8072,0.8261
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7761,0.8111

baseline_train_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7225,0.7104
surviving_edges_20p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8148,0.8319
surviving_edges_40p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7930,0.8196
surviving_edges_60p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7843,0.8141
surviving_edges_80p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7019,0.7644

baseline_train_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8264,0.8408
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.7579,0.7966
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8365,0.8574
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8309,0.8540
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8567,0.8684

baseline_train_cora_citeseer_diff_domain_dist,gat,0.8834,0.8373,0.8570
surviving_edges_20p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8106,0.8308
surviving_edges_40p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8421,0.8574
surviving_edges_60p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8700,0.8821
surviving_edges_80p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8981,0.9059

baseline_train_cora_pubmed_diff_domain_dist,gat,0.8620,0.6913,0.7504
surviving_edges_20p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7467,0.7861
surviving_edges_40p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7758,0.8045
surviving_edges_60p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7621,0.8065
