Attack,GNN,TAcc,AAcc,AF1
surviving_edges_80p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7922,0.8239

baseline_train_citeseer_cora_diff_domain_dist,gat,0.9332,0.7786,0.7903
surviving_edges_20p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7852,0.8096
surviving_edges_40p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7928,0.8131
surviving_edges_60p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8485,0.8615
surviving_edges_80p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7156,0.7834

baseline_train_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7148,0.7628
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7555,0.7906
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7596,0.7967
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7810,0.8141
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7724,0.8079

baseline_train_pubmed_cora_diff_domain_dist,gat,0.9332,0.7412,0.7448
surviving_edges_20p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8201,0.8330
surviving_edges_40p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8337,0.8538
surviving_edges_60p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8178,0.8399
surviving_edges_80p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8460,0.8519

baseline_train_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8517,0.8621
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8260,0.8474
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8778,0.8846
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8834,0.8922
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8847,0.8954

baseline_train_cora_citeseer_diff_domain_dist,gcn,0.8666,0.5256,0.6717
surviving_edges_20p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6510,0.7276
surviving_edges_40p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6397,0.7279
surviving_edges_60p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7582,0.7730
surviving_edges_80p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7092,0.7757

baseline_train_cora_pubmed_diff_domain_dist,gcn,0.8924,0.5641,0.6898
surviving_edges_20p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7472,0.7756
surviving_edges_40p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7524,0.7756
surviving_edges_60p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7764,0.7964
surviving_edges_80p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7822,0.7984

baseline_train_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7356,0.7350
surviving_edges_20p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6313,0.7213
surviving_edges_40p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6266,0.7224
surviving_edges_60p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.4982,0.6651
surviving_edges_80p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.5000,0.6614

baseline_train_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.6038,0.7142
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7147,0.7641
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7546,0.7853
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7714,0.7930
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7610,0.7964

baseline_train_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7037,0.6649
surviving_edges_20p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6899,0.7473
surviving_edges_40p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7797,0.7977
surviving_edges_60p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6518,0.7365
surviving_edges_80p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.5423,0.6798

baseline_train_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7470,0.7559
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6374,0.7248
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6933,0.7481
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7147,0.7646
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7609,0.7833

