Attack,GNN,TAcc,AAcc,AF1
baseline_train_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.7926,0.8232
surviving_edges_20p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.7013,0.7702
surviving_edges_40p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8222,0.8468
surviving_edges_60p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8381,0.8553
surviving_edges_80p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8997,0.9096

baseline_train_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.6712,0.7424
surviving_edges_20p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7701,0.7918
surviving_edges_40p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7726,0.8035
surviving_edges_60p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.8149,0.8295
surviving_edges_80p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.8061,0.8238

baseline_train_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7450,0.7582
surviving_edges_20p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7919,0.8027
surviving_edges_40p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7539,0.7890
surviving_edges_60p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7104,0.7689
surviving_edges_80p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8286,0.8470

baseline_train_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.6568,0.7359
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7160,0.7670
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7640,0.8003
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.8095,0.8270
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.8037,0.8306

baseline_train_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7164,0.6773
surviving_edges_20p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7931,0.8133
surviving_edges_40p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7469,0.7877
surviving_edges_60p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8781,0.8874
surviving_edges_80p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8685,0.8727

baseline_train_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8103,0.8178
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8352,0.8566
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8145,0.8345
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8481,0.8682
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8825,0.8918

baseline_train_cora_citeseer_diff_domain_dist,gat,0.8834,0.7591,0.7991
surviving_edges_20p_cora_citeseer_diff_domain_dist,gat,0.8834,0.7985,0.8275
surviving_edges_40p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8599,0.8720
surviving_edges_60p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8753,0.8867
surviving_edges_80p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8686,0.8778

baseline_train_cora_pubmed_diff_domain_dist,gat,0.8620,0.7055,0.7576
surviving_edges_20p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7563,0.7870
surviving_edges_40p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7444,0.7899
surviving_edges_60p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7707,0.8083
surviving_edges_80p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7945,0.8198

