Attack,GNN,TAcc,AAcc,AF1
baseline_train_citeseer_cora_diff_domain_dist,gat,0.9332,0.7687,0.7858
surviving_edges_20p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8077,0.8252
surviving_edges_40p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7959,0.8258
surviving_edges_60p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8497,0.8687
surviving_edges_80p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8412,0.8630

baseline_train_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.6957,0.7543
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7438,0.7835
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7599,0.7997
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7423,0.7954
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7699,0.8095

baseline_train_pubmed_cora_diff_domain_dist,gat,0.9332,0.7389,0.7166
surviving_edges_20p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7722,0.8116
surviving_edges_40p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8298,0.8409
surviving_edges_60p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7657,0.8032
surviving_edges_80p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7583,0.8016

baseline_train_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8132,0.8347
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8139,0.8327
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8698,0.8813
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8646,0.8752
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8257,0.8463

baseline_train_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6507,0.7321
surviving_edges_20p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6211,0.7183
surviving_edges_40p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6670,0.7432
surviving_edges_60p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7337,0.7694
surviving_edges_80p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6495,0.6979

baseline_train_cora_pubmed_diff_domain_dist,gcn,0.8924,0.6593,0.7353
surviving_edges_20p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7503,0.7823
surviving_edges_40p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7189,0.7670
surviving_edges_60p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7667,0.7912
surviving_edges_80p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7772,0.8040

baseline_train_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7328,0.7615
surviving_edges_20p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6295,0.7171
surviving_edges_40p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7055,0.7560
surviving_edges_60p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7913,0.8018
surviving_edges_80p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7324,0.7865

baseline_train_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.5014,0.6655
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7500,0.7704
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7417,0.7788
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7684,0.7803
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7955,0.8187

baseline_train_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7168,0.6864
surviving_edges_20p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6641,0.7397
surviving_edges_40p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7164,0.7536
surviving_edges_60p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7456,0.7823
surviving_edges_80p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7700,0.7888

baseline_train_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7356,0.7477
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.5619,0.6919
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6225,0.7309
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7609,0.7953
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7554,0.7680

