Attack,GNN,TAcc,AAcc,AF1
baseline_train_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.6883,0.7610
surviving_edges_20p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8209,0.8468
surviving_edges_40p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8576,0.8652
surviving_edges_60p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8209,0.8432
surviving_edges_80p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8825,0.8941

baseline_train_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.6902,0.7510
surviving_edges_20p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7238,0.7750
surviving_edges_40p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7499,0.7919
surviving_edges_60p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7966,0.8180
surviving_edges_80p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7961,0.8282

baseline_train_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7689,0.7833
surviving_edges_20p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7479,0.7915
surviving_edges_40p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8086,0.8293
surviving_edges_60p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8148,0.8326
surviving_edges_80p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8568,0.8787

baseline_train_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.6874,0.7504
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7683,0.7965
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7855,0.8114
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7728,0.8125
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7699,0.8086

baseline_train_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7253,0.7034
surviving_edges_20p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.6571,0.7387
surviving_edges_40p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7336,0.7843
