Attack,GNN,TAcc,AAcc,AF1
surviving_edges_60p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8359,0.8465
surviving_edges_80p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8498,0.8655

baseline_train_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.7954,0.8192
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8116,0.8411
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8489,0.8561
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8625,0.8720
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8395,0.8586

baseline_train_cora_citeseer_diff_domain_dist,gat,0.8834,0.7430,0.7908
surviving_edges_20p_cora_citeseer_diff_domain_dist,gat,0.8834,0.7791,0.8121
surviving_edges_40p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8769,0.8863
surviving_edges_60p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8646,0.8819
surviving_edges_80p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8686,0.8790

baseline_train_cora_pubmed_diff_domain_dist,gat,0.8620,0.7098,0.7605
surviving_edges_20p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7528,0.7901
surviving_edges_40p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7828,0.8108
surviving_edges_60p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7788,0.8102
surviving_edges_80p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7424,0.7912

baseline_train_citeseer_cora_diff_domain_dist,gat,0.9332,0.7625,0.7814
surviving_edges_20p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7994,0.8277
surviving_edges_40p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8038,0.8220
surviving_edges_60p_citeseer_cora_diff_domain_dist,gat,0.9332,0.6899,0.7661
surviving_edges_80p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8365,0.8623

baseline_train_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.6899,0.7506
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7467,0.7888
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7636,0.8022
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7608,0.7958
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7747,0.8112

baseline_train_pubmed_cora_diff_domain_dist,gat,0.9332,0.7583,0.7631
surviving_edges_20p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7669,0.8008
surviving_edges_40p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8132,0.8341
surviving_edges_60p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7964,0.8219
surviving_edges_80p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7915,0.8211

baseline_train_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.7939,0.8265
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8213,0.8470
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.7832,0.8220
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8499,0.8676
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8901,0.8988

baseline_train_cora_citeseer_diff_domain_dist,gcn,0.8666,0.4967,0.6563
surviving_edges_20p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.5980,0.7144
surviving_edges_40p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7033,0.7656
surviving_edges_60p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.5788,0.6949
surviving_edges_80p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7446,0.7729

baseline_train_cora_pubmed_diff_domain_dist,gcn,0.8924,0.5037,0.6645
surviving_edges_20p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7388,0.7744
surviving_edges_40p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7490,0.7858
surviving_edges_60p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7477,0.7893
surviving_edges_80p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7824,0.8097

baseline_train_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6985,0.7348
surviving_edges_20p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6987,0.7585
surviving_edges_40p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6500,0.7389
surviving_edges_60p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7339,0.7798
surviving_edges_80p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.5516,0.6735

baseline_train_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.6656,0.7382
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7190,0.7674
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7464,0.7814
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7866,0.8089
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7914,0.8186

baseline_train_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7084,0.6730
surviving_edges_20p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7104,0.7559
surviving_edges_40p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6000,0.6919
surviving_edges_60p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7140,0.7560
surviving_edges_80p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.8310,0.8364

baseline_train_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7334,0.7308
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6551,0.7330
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6515,0.7348
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7486,0.7267
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7120,0.7500

