Attack,GNN,TAcc,AAcc,AF1
surviving_edges_20p_pubmed_cora_diff_domain_dist,gat,0.9332,0.6249,0.7205
surviving_edges_40p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8463,0.8554
surviving_edges_60p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8071,0.8286
surviving_edges_80p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7773,0.8082

baseline_train_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.7880,0.8187
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8434,0.8594
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8448,0.8597
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8472,0.8623
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8954,0.9082

baseline_train_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6306,0.7207
surviving_edges_20p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6429,0.7253
surviving_edges_40p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6379,0.7306
surviving_edges_60p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6304,0.7291
surviving_edges_80p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6793,0.7500

baseline_train_cora_pubmed_diff_domain_dist,gcn,0.8924,0.5121,0.6715
surviving_edges_20p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7332,0.7717
surviving_edges_40p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7434,0.7846
surviving_edges_60p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7722,0.7892
surviving_edges_80p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7914,0.8095

baseline_train_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7103,0.7552
surviving_edges_20p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.5551,0.6870
surviving_edges_40p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7305,0.7632
surviving_edges_60p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7620,0.7952
surviving_edges_80p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.5986,0.7036

baseline_train_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.5069,0.6683
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7350,0.7750
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7431,0.7805
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7572,0.7946
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7735,0.8034

baseline_train_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6840,0.6353
surviving_edges_20p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6524,0.7296
surviving_edges_40p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7148,0.7631
surviving_edges_60p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.5182,0.6787
surviving_edges_80p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7113,0.7564

baseline_train_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7459,0.7692
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7143,0.7541
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6588,0.7466
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7052,0.7586
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7391,0.7885

