Attack,GNN,TAcc,AAcc,AF1
baseline_train_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8166,0.8376
surviving_edges_20p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8030,0.8308
surviving_edges_40p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8222,0.8507
surviving_edges_60p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8496,0.8617
surviving_edges_80p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8739,0.8889

baseline_train_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.6934,0.7500
surviving_edges_20p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7224,0.7715
surviving_edges_40p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7202,0.7755
surviving_edges_60p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7594,0.8035
surviving_edges_80p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.8142,0.8374

baseline_train_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7501,0.7663
surviving_edges_20p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7878,0.8147
surviving_edges_40p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8047,0.8288
surviving_edges_60p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7878,0.8203
surviving_edges_80p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8404,0.8589

baseline_train_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7043,0.7576
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7480,0.7838
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7876,0.8112
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7244,0.7808
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.8080,0.8342

baseline_train_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7150,0.6641
surviving_edges_20p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8177,0.8314
surviving_edges_40p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8227,0.8342
surviving_edges_60p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8136,0.8299
surviving_edges_80p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7840,0.8130

baseline_train_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8143,0.8340
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.7801,0.8101
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8231,0.8472
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8367,0.8586
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8453,0.8657

baseline_train_cora_citeseer_diff_domain_dist,gat,0.8834,0.8142,0.8425
surviving_edges_20p_cora_citeseer_diff_domain_dist,gat,0.8834,0.7871,0.8211
surviving_edges_40p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8457,0.8610
surviving_edges_60p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8713,0.8812
surviving_edges_80p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8472,0.8690

baseline_train_cora_pubmed_diff_domain_dist,gat,0.8620,0.7083,0.7601
surviving_edges_20p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7340,0.7807
surviving_edges_40p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7439,0.7895
surviving_edges_60p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7782,0.8114
surviving_edges_80p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7693,0.8035

baseline_train_citeseer_cora_diff_domain_dist,gat,0.9332,0.7635,0.7659
surviving_edges_20p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8018,0.8276
surviving_edges_40p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7715,0.8090
surviving_edges_60p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7574,0.8015
surviving_edges_80p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8744,0.8840

baseline_train_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7116,0.7617
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.6906,0.7575
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7386,0.7838
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7454,0.7937
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7851,0.8171

baseline_train_pubmed_cora_diff_domain_dist,gat,0.9332,0.7682,0.7550
