acc,f1
73.91,72.93
72.66,78.18
71.09,77.02
74.69,78.71
74.61,79.15
74.69,79.31
70.47,75.77
71.48,78.26
69.30,75.99
72.81,77.37
75.55,79.74
76.48,78.05
69.77,61.57
76.25,79.73
63.91,73.36
74.38,78.87
65.94,73.25
73.52,78.23
79.06,82.01
72.97,71.45
