acc,f1
84.76,86.05
83.47,85.36
84.88,85.49
84.29,85.34
79.72,82.79
71.04,77.24
78.78,82.24
78.31,80.75
75.26,78.96
82.18,83.48
79.72,82.44
70.34,76.60
81.95,83.48
83.24,84.87
85.81,87.38
82.53,84.72
80.19,83.05
84.17,85.56
80.07,82.65
81.71,84.49
