acc,f1
70.32,70.32
68.31,60.61
69.81,65.15
70.32,64.05
70.98,66.52
67.04,59.53
73.00,72.09
70.79,68.58
74.64,77.87
70.37,69.79
75.90,79.41
73.84,78.27
73.04,77.28
73.18,74.60
66.57,57.18
73.89,76.92
68.59,66.47
72.06,76.97
68.54,61.01
73.04,77.94
