acc,f1
85.92,86.30
85.92,87.34
85.45,86.28
76.53,80.69
83.57,85.42
80.28,82.93
80.52,83.43
79.34,83.58
80.99,82.73
71.83,77.19
84.04,85.77
81.69,83.19
83.33,85.18
78.40,82.24
77.70,82.57
80.99,83.16
80.52,83.63
76.53,80.92
85.68,87.37
71.83,76.83
