acc,f1
73.74,78.29
74.09,78.23
75.79,79.07
78.49,81.19
72.86,77.69
73.04,78.30
72.45,77.62
75.38,76.59
71.45,76.93
70.63,76.13
70.16,63.72
73.97,77.91
75.50,79.29
71.86,77.57
71.28,76.31
73.86,78.07
75.73,79.15
72.39,76.97
75.38,78.68
75.21,79.36
