acc,f1
71.54,76.02
78.15,79.16
56.82,68.68
77.78,80.20
73.09,77.75
78.72,80.35
76.32,78.74
80.36,81.37
61.23,71.17
78.15,78.18
57.99,69.50
68.92,75.03
77.36,80.25
69.29,75.53
73.37,77.13
77.26,80.11
70.42,76.48
79.18,80.25
79.56,79.63
79.09,80.04
