acc,f1
89.68,90.58
89.40,90.63
85.96,87.40
87.39,88.60
87.11,89.10
88.83,89.32
86.25,87.82
86.82,88.38
80.80,83.21
80.80,84.31
87.39,88.72
85.39,86.10
90.26,91.54
80.23,83.21
84.81,86.30
85.67,86.77
85.10,87.06
87.39,88.72
84.53,85.56
90.83,91.53
