acc,f1
73.89,78.64
77.29,79.49
75.45,78.89
78.62,80.91
76.58,79.50
76.35,79.30
75.59,79.28
75.69,79.44
76.44,80.05
61.26,71.77
76.73,79.67
75.88,79.49
76.11,79.92
74.83,78.29
78.95,81.37
79.19,81.36
77.63,81.00
