acc,f1
83.06,83.55
68.24,74.70
69.19,75.39
81.72,83.04
71.32,77.53
73.52,78.46
75.41,78.95
75.57,79.77
79.04,82.36
83.14,84.95
82.19,83.99
73.52,78.71
82.74,83.84
85.34,86.26
83.29,84.84
78.72,81.20
75.33,79.26
78.33,81.25
80.38,82.58
81.25,82.80
