acc,f1
67.93,75.18
73.02,77.43
71.66,76.96
73.20,75.29
74.14,76.84
67.16,74.44
71.83,77.09
73.31,77.95
63.96,72.60
73.14,77.37
67.51,74.62
73.37,77.50
74.38,78.14
71.78,77.55
71.30,77.07
74.73,78.62
74.14,78.36
73.08,77.64
71.60,76.52
71.24,77.31
