acc,f1
73.87,78.02
71.60,74.02
69.51,75.86
71.14,76.92
73.05,76.99
72.23,77.40
71.51,76.14
71.69,76.40
73.96,74.26
71.14,75.69
67.42,74.41
69.60,75.88
71.60,77.07
75.05,76.31
69.51,75.69
73.23,77.33
71.32,75.00
72.78,75.92
73.77,76.06
70.15,75.28
