acc,f1
63.87,73.20
67.74,75.05
67.85,74.29
64.04,72.99
69.97,75.96
63.33,72.35
62.79,72.22
70.84,77.00
71.65,76.31
56.75,69.71
59.85,71.62
71.49,75.58
71.27,76.47
68.50,75.78
61.48,70.91
70.24,75.06
71.44,75.13
67.03,73.72
60.39,71.41
64.42,72.08
