acc,f1
86.06,87.44
85.66,87.37
86.19,87.14
81.77,84.47
87.40,88.45
84.45,86.26
82.17,84.03
87.80,88.64
85.79,86.98
84.99,86.67
85.39,86.85
86.06,87.50
86.73,87.76
86.06,87.16
85.66,87.09
89.14,89.89
88.20,89.32
85.92,87.39
85.66,87.34
86.19,87.27
