acc,f1
77.97,81.01
74.84,79.89
74.84,79.80
82.16,84.54
76.00,73.45
80.37,83.21
72.88,78.80
78.86,82.19
77.88,80.98
76.72,80.42
77.43,79.31
79.13,80.82
77.52,79.00
75.91,80.21
81.09,82.85
76.36,81.22
77.52,81.50
76.72,79.53
77.43,80.73
79.75,83.42
