acc,f1
71.72,77.29
74.26,75.70
71.05,76.97
74.53,79.48
76.41,81.08
68.36,58.60
73.06,75.81
71.85,77.71
78.02,81.06
69.44,75.74
75.74,80.77
82.04,83.25
77.75,78.10
74.40,79.08
73.19,75.73
72.65,78.39
80.16,83.33
76.54,81.00
70.51,77.32
80.03,82.41
