acc,f1
82.82,84.33
78.64,82.16
78.00,81.46
83.35,85.08
80.57,83.26
80.73,83.27
81.05,83.38
82.07,84.04
81.69,84.11
77.89,81.01
82.66,84.63
81.26,83.57
83.78,85.41
80.19,83.03
78.80,81.56
82.55,84.55
82.33,84.81
84.26,85.57
82.28,84.12
77.78,81.55
