acc,f1
77.09,79.28
74.89,73.67
75.48,76.22
75.64,76.26
77.84,79.80
70.66,64.83
75.70,74.18
73.82,71.25
75.43,80.31
76.23,76.71
72.48,70.25
78.48,81.35
72.86,68.84
76.87,78.78
74.41,74.38
76.61,76.94
74.95,74.84
65.52,54.07
78.75,80.98
75.80,75.11
