acc,f1
84.27,85.48
83.67,85.51
85.14,86.79
82.26,84.51
77.84,80.86
85.54,87.08
80.92,84.12
75.70,80.39
81.79,84.31
81.66,84.40
84.27,85.56
84.61,86.23
79.12,82.33
83.07,85.13
85.74,86.46
82.73,84.88
80.05,82.73
84.67,86.06
85.21,86.20
83.94,85.51
