acc,f1
63.51,72.50
73.70,78.86
68.01,75.94
68.72,75.74
68.25,75.28
77.25,81.03
71.09,67.38
71.80,77.67
75.83,80.23
68.96,77.14
63.27,72.76
68.25,70.74
72.51,74.78
67.54,74.86
68.72,74.90
72.75,77.41
56.16,37.71
77.25,81.68
66.35,54.78
74.64,75.74
