acc,f1
80.00,82.74
81.07,84.00
81.54,83.88
82.37,84.33
82.96,83.93
81.07,82.68
83.08,84.99
80.59,83.43
79.64,82.30
81.54,84.18
83.91,85.53
82.37,84.53
79.53,82.36
82.13,83.95
80.36,82.89
81.78,83.51
76.92,80.24
83.31,84.85
81.07,83.67
82.37,83.68
