acc,f1
74.93,79.36
75.00,79.04
76.07,80.14
80.30,82.76
81.73,83.83
80.23,83.19
80.30,82.76
82.38,84.41
79.30,81.97
80.87,82.98
77.51,81.49
76.43,80.19
82.09,84.06
72.64,78.90
82.31,84.20
82.95,85.05
84.74,86.21
71.85,77.68
82.88,84.73
78.72,82.10
