acc,f1
73.62,78.09
75.97,77.98
69.99,76.47
51.58,67.91
74.09,77.79
60.49,71.61
52.52,67.47
70.93,76.47
79.60,81.17
51.58,66.61
52.87,67.99
76.08,79.31
72.80,77.74
65.65,73.48
71.40,77.24
75.15,78.23
67.53,74.14
67.64,73.46
73.62,78.95
63.42,72.29
