acc,f1
65.02,60.05
73.71,74.89
57.98,31.94
73.24,69.68
69.01,70.14
68.08,64.77
73.24,76.92
73.71,79.10
69.72,67.83
71.36,72.02
77.23,80.64
68.31,74.67
72.30,77.22
67.37,59.71
59.62,35.82
56.57,30.19
63.85,72.30
61.74,57.66
62.68,55.46
72.77,79.06
