acc,f1
71.78,76.43
72.34,76.25
68.31,74.32
70.56,74.35
67.79,66.63
70.46,75.51
68.03,74.30
68.31,73.96
68.21,73.45
72.06,75.97
68.78,69.28
66.01,73.20
72.29,76.67
68.54,73.72
68.82,74.55
71.21,74.73
70.32,74.17
72.43,74.63
73.23,76.89
66.15,72.67
