acc,f1
56.87,68.73
59.63,70.94
54.85,68.21
60.29,70.68
58.98,69.18
59.40,69.93
54.76,66.43
56.59,69.52
54.43,68.56
69.85,74.69
70.98,75.66
62.07,71.44
52.56,67.91
52.56,67.83
54.01,67.93
58.88,70.58
54.62,68.14
71.17,75.80
59.87,70.11
51.95,66.86
